combination,consumption
2,0.6143846400000001
2,0.5727052800000001
2,0.6483456000000001
2,0.5557248
2,0.58814208
2,0.142172928
2,0.5757926400000001
2,0.5464627200000001
2,0.54955008
2,0.5757926400000001
2,0.5665305600000001
2,0.5680742400000001
2,0.55726848
2,0.53874432
2,0.5402880000000001
2,0.54183168
2,0.5480064
2,0.55263744
2,0.5510937600000001
2,0.5727052800000001
2,0.5665305600000001
2,0.5665305600000001
2,0.5943168000000001
2,0.5451948
2,0.53444448
2,0.54980208
2,0.5451948
2,0.54212328
2,0.53290872
2,0.54365904
4,1.5933275999999996
4,1.6305767999999998
4,1.5536628000000001
4,1.5244354799999997
4,1.5167440799999998
4,1.5136675199999998
4,1.5321268799999999
4,1.51212924
4,1.5690455999999997
4,1.5028995599999997
4,1.4905933199999999
4,1.49674644
4,1.49674644
4,1.5182823599999997
4,1.5075143999999998
4,1.50597612
4,1.5105909599999998
4,1.53366516
4,1.5690455999999997
4,1.5044378399999998
4,1.4875167599999999
4,1.53366516
4,1.5136675199999998
4,1.50905268
4,1.5152058
4,1.50136128
4,1.5182823599999997
4,1.53828
4,1.49828472
4,1.6767252
1,0.5449950000000001
1,0.542025
1,0.55539
1,0.5197500000000002
1,0.5449950000000001
1,0.5301450000000001
1,0.5360849999999999
1,0.5524199999999999
1,0.604395
1,0.5464800000000001
1,0.5449950000000001
1,0.542025
1,0.5449950000000001
1,0.54945
1,0.539055
1,0.56133
1,0.5464800000000001
1,0.5583600000000001
1,0.5524199999999999
1,0.571725
1,0.56133
1,0.556875
1,0.5643
1,0.547965
1,0.56727
1,0.512325
1,0.5316299999999999
1,0.55539
1,0.5539050000000001
1,0.5449950000000001
3,0.37336752
3,0.35997984
3,0.37188
3,0.35849232
3,0.35849232
3,0.3570048
3,0.36146735999999996
3,0.38229264
3,0.41948063999999996
3,0.47451888
3,0.45071856
3,0.4998067199999999
3,0.6411211199999999
3,0.44774351999999995
3,0.45666864
3,0.44328095999999995
3,0.46261872
3,0.45071856
3,0.446256
3,0.45220607999999995
3,0.45666864
3,0.45518111999999994
3,0.51468192
3,0.46559375999999997
3,0.4536935999999999
3,0.45964368
3,0.44179344
3,0.45071856
3,0.45220607999999995
3,0.44030591999999996
