combination,consumption
2,1.2545280000000003
2,1.24540416
2,1.15416576
2,1.18001664
2,1.1328768
2,1.1085465600000002
2,1.1222323200000002
2,1.1283148800000002
2,1.0918195200000003
2,1.10550528
2,1.11462912
2,1.10398464
2,1.1191910400000002
2,1.12679424
2,1.102464
2,1.0842163200000001
2,1.18001664
2,1.11158784
2,1.09790208
2,1.11614976
2,1.1009433600000003
2,1.09638144
2,1.09790208
2,1.1100672
2,1.09790208
2,1.13895936
2,1.0994227200000002
2,1.13135616
2,1.09638144
2,1.10398464
4,1.8178560000000001
4,1.5300288000000002
4,1.6209216
4,1.5148800000000002
4,1.5133651200000002
4,1.4951865599999998
4,1.5451776
4,1.4830675200000003
4,1.477008
4,1.47852288
4,1.5603264
4,1.4921568000000003
4,1.4845824
4,1.4891270400000003
4,1.50276096
4,1.46812968
4,1.4922468000000002
4,1.47114432
4,1.48772484
4,1.4997834
4,1.47415896
4,1.5073200000000002
4,1.4756662800000002
4,1.48621752
4,1.4847102000000003
4,1.47265164
4,1.48923216
4,1.4907394800000002
4,1.5223932000000002
4,1.5977592
1,0.5523433200000001
1,0.5407455600000001
1,0.53204724
1,0.53204724
1,0.5378461200000001
1,0.53204724
1,0.56249136
1,0.5349466800000001
1,0.58423716
1,0.5508936
1,0.5291478
1,0.5407455600000001
1,0.5552427600000001
1,0.543645
1,0.5508936
1,0.5407455600000001
1,0.5334969600000001
1,0.54509472
1,0.54799416
1,0.5581422
1,0.55669248
1,0.56829024
1,0.54509472
1,0.5508936
1,0.56104164
1,0.56829024
1,0.56104164
1,0.54944388
1,0.543645
1,0.53929584
3,0.3735324
3,0.360297
3,0.3661794
3,0.35294400000000004
3,0.3632382
3,0.3588264
3,0.3632382
3,0.3514734
3,0.3617676
3,0.3544146
3,0.3632382
3,0.3573558
3,0.40147380000000005
3,0.36765000000000003
3,0.34853219999999996
3,0.3544146
3,0.3544146
3,0.3544146
3,0.3506112
3,0.36375912
3,0.36375912
3,0.438264
3,0.7479705600000001
3,0.4455684
3,0.36668088000000004
3,0.3579156
3,0.35353296
3,0.3579156
3,0.35499384
3,0.37690704
