combination,consumption
2,0.66487428
2,0.6146928
2,0.5514156
2,0.5694948
2,0.5378562
2,0.5393627999999999
2,0.5333363999999999
2,0.5378562
2,0.5363496
2,0.5710014
2,0.564975
2,0.5303232
2,0.5453892
2,0.5378562
2,0.5303232
2,0.5393627999999999
2,0.5634684
2,0.5468957999999999
2,0.534843
2,0.5664816
2,0.5529222
2,0.5453892
2,0.542376
2,0.5378562
2,0.5529222
2,0.5288166
2,0.5499089999999999
2,0.5333363999999999
2,0.5318297999999999
2,0.5363496
4,1.7817155999999998
4,1.4972400000000001
4,1.6020467999999999
4,1.4822676000000001
4,1.4972400000000001
4,1.4613062399999999
4,1.4837648399999999
4,1.6170191999999999
4,1.5122124000000001
4,1.4568145199999998
4,1.4852620799999998
4,1.4628034799999998
4,1.45382004
4,1.46579796
4,1.45831176
4,1.47028968
4,1.4852620799999998
4,1.45531728
4,1.49574276
4,1.4762786399999999
4,1.4613062399999999
4,1.47927312
4,1.5271848
4,1.4672952
4,1.4672952
4,1.4747814000000001
4,1.4852620799999998
4,1.5721019999999999
4,1.48825656
4,1.4852620799999998
1,0.53962272
1,0.5281718400000001
1,0.5210150400000001
1,0.47521152
1,0.46232928
1,0.49095648
1,0.47664288000000005
1,0.46089791999999996
1,0.64268064
1,0.54677952
1,0.5253091200000001
1,0.54248544
1,0.5296031999999999
1,0.5253091200000001
1,0.5267404800000001
1,0.53819136
1,0.53103456
1,0.5253091200000001
1,0.5224464
1,0.53103456
1,0.53819136
1,0.51099552
1,0.5081327999999999
1,0.5324659199999999
1,0.5224464
1,0.55536768
1,0.53103456
1,0.5210150400000001
1,0.5324659199999999
1,0.53532864
3,0.44929836
3,0.44639028
3,0.43766604
3,0.45511451999999997
3,0.45511451999999997
3,0.4507524
3,0.43039584
3,0.4507524
3,0.44929836
3,0.44348219999999994
3,0.4449362399999999
3,0.42748776
3,0.65868012
3,0.436212
3,0.4449362399999999
3,0.43766604
3,0.44202815999999995
3,0.44202815999999995
3,0.43184987999999996
3,0.45366048
3,0.44202815999999995
3,0.46238472
3,0.54381096
3,0.47547108
3,0.45947664000000005
3,0.4565685599999999
3,0.4565685599999999
3,0.46093068
3,0.46674683999999994
3,0.47401703999999995
