combination,consumption
2,1.18432224
2,1.1889727200000002
2,1.17347112
2,1.16106984
2,1.14246792
2,1.1300666400000001
2,1.15796952
2,1.11921552
2,1.1409177600000002
2,1.15796952
2,1.14866856
2,1.1393676
2,1.1254161599999999
2,1.1517688800000003
2,1.123866
2,1.1254161599999999
2,1.11456504
2,1.1176653600000002
2,1.13781744
2,1.15021872
2,1.12696632
2,1.11456504
2,1.1161151999999999
2,1.1254161599999999
2,1.13781744
2,1.14246792
2,1.1300666400000001
2,1.16262
2,1.11921552
2,1.14246792
4,1.54574352
4,1.5877727999999998
4,1.5877727999999998
4,1.5722064
4,1.55664
4,1.5722064
4,1.53951696
4,1.5722064
4,1.5379603199999998
4,1.52239392
4,1.55664
4,1.5379603199999998
4,1.5332904
4,1.5441868799999998
4,1.5877727999999998
4,1.53017712
4,1.53951696
4,1.5255072
4,1.5504134399999998
4,1.52706384
4,1.5208372799999998
4,1.5441868799999998
4,1.53951696
4,1.5332904
4,1.5504134399999998
4,1.5473001599999998
4,1.5348470399999998
4,1.5410736000000003
4,1.5364036799999998
4,1.5332904
1,0.5530463999999999
1,0.5524199999999999
1,0.5999399999999999
1,0.5401137599999999
1,0.57302928
1,0.5909831999999999
1,0.5640523199999999
1,0.55208304
1,0.55058688
1,0.6762643199999999
1,0.5431060799999999
1,0.54909072
1,0.5535791999999999
1,0.5453913600000001
1,0.55579392
1,0.5460983999999999
1,0.57302928
1,0.56255616
1,0.55507536
1,0.5460983999999999
1,0.5685408
1,0.53796096
1,0.53944704
1,0.56350944
1,0.5545411200000001
1,0.5620147200000001
1,0.58144608
1,0.5366044800000002
1,0.53959392
1,0.5306256
3,0.38322503999999996
3,0.37417248
3,0.37266372
3,0.36511992
3,0.37719
3,0.36361116
3,0.37266372
3,0.3696462
3,0.36813744
3,0.36662868
3,0.36452916
3,0.37503000000000003
3,0.64805184
3,0.43203455999999996
3,0.4650372
3,0.46053684
3,0.45153612
3,0.44253539999999997
3,0.45903671999999995
3,0.4650372
3,0.46353708
3,0.44703576
3,0.487539
3,0.36302903999999997
3,0.44253539999999997
3,0.4158
3,0.45589500000000005
3,0.46620143999999997
3,0.46320336
3,0.45121103999999995
