combination,consumption
2,1.2152851199999999
2,1.2063492
2,1.16018028
2,1.1467763999999998
2,1.0976288399999998
2,1.10358612
2,1.0827356399999999
2,1.06933176
2,1.0976288399999998
2,1.0812463199999998
2,1.07379972
2,1.0812463199999998
2,1.08571428
2,1.0872035999999998
2,1.14230844
2,1.0618851599999999
2,1.0872035999999998
2,1.10507544
2,1.07082108
2,1.0872035999999998
2,1.07826768
2,1.07379972
2,1.0767783599999998
2,1.07082108
2,1.07826768
2,1.0797569999999999
2,1.1155006799999998
2,1.0767783599999998
2,1.08869292
2,1.0812463199999998
4,1.7504424
4,1.4856696000000003
4,1.5739272
4,1.45919232
4,1.46507616
4,1.4488956000000002
4,1.45183752
4,1.45772136
4,1.44448272
4,1.5003792
4,1.4503665600000002
4,1.5003792
4,1.4356569600000002
4,1.4665471200000002
4,1.43712792
4,1.43712792
4,1.43124408
4,1.46507616
4,1.4356569600000002
4,1.4430117600000003
4,1.45330848
4,1.45919232
4,1.4474246400000002
4,1.44448272
4,1.4474246400000002
4,1.43712792
4,1.4488956000000002
4,1.4547794400000003
4,1.42241832
4,1.6180560000000002
1,0.5273848800000001
1,0.53302536
1,0.5189241600000001
1,0.5189241600000001
1,0.5358456
1,0.51610392
1,0.54007596
1,0.5231545200000001
1,0.54571644
1,0.5090533199999999
1,0.62468316
1,0.51751404
1,0.5273848800000001
1,0.54571644
1,0.54007596
1,0.5471265599999999
1,0.53302536
1,0.5217443999999999
1,0.528795
1,0.528795
1,0.5273848800000001
1,0.5358456
1,0.51328368
1,0.5710986
1,0.53161524
1,0.528795
1,0.528795
1,0.56545812
1,0.52033428
1,0.53866584
3,0.3517416
3,0.37901952
3,0.43213967999999997
3,0.44936784
3,0.44936784
3,0.43501104
3,0.46085328
3,0.45511056
3,0.44793216
3,0.46372464
3,0.466596
3,0.44936784
3,0.5355086400000001
3,0.44218944000000004
3,0.43501104
3,0.44506080000000003
3,0.43644671999999995
3,0.46085328
3,0.44793216
3,0.46372464
3,0.4522392
3,0.44793216
3,0.56996496
3,0.44218944000000004
3,0.45367488000000006
3,0.44075376000000005
3,0.43931808
3,0.48238848
3,0.45941760000000004
3,0.44218944000000004
