combination,consumption
2,1.1546726400000002
2,1.1685657600000003
2,1.1994393600000002
2,1.1500416
2,1.1330611200000003
2,1.15621632
2,1.1253427200000001
2,1.17165312
2,1.12225536
2,1.1454105600000002
2,1.1484979199999998
2,1.1299737600000002
2,1.1407795200000002
2,1.1129932800000002
2,1.1454105600000002
2,1.11453696
2,1.15312896
2,1.14386688
2,1.1176243200000002
2,1.1299737600000002
2,1.1207116799999999
2,1.1207116799999999
2,1.1253427200000001
2,1.13151744
2,1.1423231999999999
2,1.1948083200000001
2,1.1176243200000002
2,1.1129932800000002
2,1.11453696
2,1.1176243200000002
4,1.5933275999999996
4,1.54692
4,1.5329977199999998
4,1.54692
4,1.5345446399999998
4,1.52835696
4,1.54537308
4,1.5268100399999998
4,1.5438261599999998
4,1.52990388
4,1.52526312
4,1.51907544
4,1.5314508
4,1.51288776
4,1.51288776
4,1.5268100399999998
4,1.51288776
4,1.54227924
4,1.5329977199999998
4,1.53609156
4,1.5237162
4,1.54692
4,1.51752852
4,1.52990388
4,1.5268100399999998
4,1.5438261599999998
4,1.52062236
4,1.5237162
4,1.54227924
4,1.6087968
1,0.57341952
1,0.5674464
1,0.56296656
1,0.56595312
1,0.55998
1,0.55848672
1,0.55998
1,0.54355392
1,0.59133888
1,0.5719262399999999
1,0.5749128
1,0.55998
1,0.54952704
1,0.57341952
1,0.56595312
1,0.68840208
1,0.5644598399999999
1,0.54952704
1,0.55848672
1,0.57341952
1,0.556875
1,0.56727
1,0.5464800000000001
1,0.556875
1,0.5643
1,0.5539050000000001
1,0.54054
1,0.5524199999999999
1,0.5449950000000001
1,0.5583600000000001
3,0.37075104
3,0.41988672
3,0.45271008
3,0.45271008
3,0.48418992
3,0.44371584
3,0.45570816
3,0.45570816
3,0.46320336
3,0.46919952
3,0.47969280000000003
3,0.46020528
3,0.56513808
3,0.47669472
3,0.46020528
3,0.46170432
3,0.4572071999999999
3,0.0099086544
3,0.46320336
3,0.47369664
3,0.47369664
3,0.45420912
3,0.61310736
3,0.4572071999999999
3,0.47069855999999993
3,0.46470239999999996
3,0.46470239999999996
3,0.46620143999999997
3,0.45570816
3,0.46320336
