treatment,consumption
most.js,1.2364228800000001
most.js,1.1376288
most.js,1.2064852800000003
most.js,1.1121818400000003
most.js,1.08074736
most.js,1.1061943200000002
most.js,1.1106849600000002
most.js,1.1046974400000003
most.js,1.1046974400000003
most.js,1.0837411200000002
most.js,1.0747598400000002
most.js,1.0882317600000002
most.js,1.0927224
most.js,1.0972130400000002
most.js,1.0777536
most.js,1.1825352
most.js,1.09122552
most.js,1.0957161600000003
most.js,1.0927224
most.js,1.1076911999999999
most.js,1.0927224
most.js,1.0957161600000003
most.js,1.0852380000000001
most.js,1.08673488
most.js,1.1241568800000001
most.js,1.1076911999999999
most.js,1.1196662400000001
most.js,1.10918808
most.js,1.0972130400000002
most.js,0.3587922
most.js,0.34799436
most.js,0.36676584
most.js,0.34655040000000004
most.js,0.36243396000000005
most.js,0.34799436
most.js,0.34799436
most.js,0.35665812
most.js,0.44907156000000004
most.js,0.4476276
most.js,0.48661452000000005
most.js,0.45051552
most.js,0.6266786400000001
most.js,0.4476276
most.js,0.4404078
most.js,0.45051552
most.js,0.41441652
most.js,0.3682098
most.js,0.34943832
most.js,0.41586048
most.js,0.43174404
most.js,0.44618364000000005
most.js,0.50682996
most.js,0.4404078
most.js,0.4476276
most.js,0.42885612
most.js,0.4591792800000001
most.js,0.43607592000000006
most.js,0.44618364000000005
most.js,0.45051552
rxjs,1.7692919999999999
rxjs,1.4868000000000001
rxjs,1.6057439999999998
rxjs,1.464498
rxjs,1.4763924
rxjs,1.4868000000000001
rxjs,1.4659848
rxjs,1.4674715999999999
rxjs,1.4689584
rxjs,1.4615244
rxjs,1.4689584
rxjs,1.590876
rxjs,1.4778791999999998
rxjs,1.4704452000000001
rxjs,1.4585508
rxjs,1.4689584
rxjs,1.4526035999999998
rxjs,1.4496300000000002
rxjs,1.464498
rxjs,1.4615244
rxjs,1.4674715999999999
rxjs,1.4838263999999999
rxjs,1.4526035999999998
rxjs,1.4734188
rxjs,1.4734188
rxjs,1.464498
rxjs,1.4526035999999998
rxjs,1.4704452000000001
rxjs,1.501668
rxjs,1.4600376
rxjs,0.5236934400000001
rxjs,0.5251165200000001
rxjs,0.52227036
rxjs,0.53934732
rxjs,0.52084728
rxjs,0.5236934400000001
rxjs,0.5293857599999999
rxjs,0.53223192
rxjs,0.533655
rxjs,0.5293857599999999
rxjs,0.5251165200000001
rxjs,0.5251165200000001
rxjs,0.5308088400000001
rxjs,0.5308088400000001
rxjs,0.5407704
rxjs,0.5692320000000001
rxjs,0.5108857200000001
rxjs,0.52084728
rxjs,0.5251165200000001
rxjs,0.5265395999999999
rxjs,0.52227036
rxjs,0.5236934400000001
rxjs,0.5251165200000001
rxjs,0.5308088400000001
rxjs,0.53792424
rxjs,0.52084728
rxjs,0.5251165200000001
rxjs,0.5251165200000001
rxjs,0.5251165200000001
rxjs,0.52796268
