treatment,consumption
most.js,0.8588484000000001
most.js,0.7106129999999999
most.js,0.6311466
most.js,0.6785208
most.js,0.6173928
most.js,0.6173928
most.js,0.6235056000000001
most.js,0.6250338000000001
most.js,0.6265620000000001
most.js,0.7411770000000001
most.js,0.68769
most.js,0.6326748000000001
most.js,0.6464286
most.js,0.6219774
most.js,0.664767
most.js,0.6235056000000001
most.js,0.6203221200000001
most.js,0.6157720799999999
most.js,0.6172887600000001
most.js,0.7143562800000001
most.js,0.6931227600000001
most.js,0.6584716800000001
most.js,0.64627776
most.js,0.6478020000000001
most.js,0.62341416
most.js,0.61274448
most.js,0.6401808
most.js,0.62036568
most.js,0.6264626400000001
most.js,0.7102958400000001
most.js,0.45708516000000005
most.js,0.46152288
most.js,0.45412668
most.js,0.47631527999999995
most.js,0.46300212
most.js,0.47039832000000004
most.js,0.46152288
most.js,0.47039832000000004
most.js,0.45708516000000005
most.js,0.4733568
most.js,0.46004364000000003
most.js,0.5961337200000001
most.js,0.47483603999999996
most.js,0.45264743999999996
most.js,0.46152288
most.js,0.45412668
most.js,0.45856440000000004
most.js,0.45708516000000005
most.js,0.46743984000000005
most.js,0.46152288
most.js,0.84464604
most.js,0.45708516000000005
most.js,0.44673048000000004
most.js,0.46004364000000003
most.js,0.44968895999999997
most.js,0.47039832000000004
most.js,0.44673048000000004
most.js,0.47927376
most.js,0.46300212
most.js,0.46004364000000003
rxjs,1.5833376000000001
rxjs,1.5681132
rxjs,1.674684
rxjs,1.5178726800000002
rxjs,1.5376644000000002
rxjs,1.5117829200000001
rxjs,1.5833376000000001
rxjs,1.5376644000000002
rxjs,1.5376644000000002
rxjs,1.52091756
rxjs,1.4996034000000003
rxjs,1.5528887999999998
rxjs,1.5148278000000002
rxjs,1.5148278000000002
rxjs,1.5224400000000002
rxjs,1.51330536
rxjs,1.51939512
rxjs,1.52091756
rxjs,1.50873804
rxjs,1.51635024
rxjs,1.5376644000000002
rxjs,1.5681132
rxjs,1.5528887999999998
rxjs,1.5148278000000002
rxjs,1.5178726800000002
rxjs,1.5026482799999998
rxjs,1.5178726800000002
rxjs,1.5224400000000002
rxjs,1.49503608
rxjs,1.49808096
rxjs,0.559872
rxjs,0.556956
rxjs,0.551124
rxjs,0.552582
rxjs,0.5394599999999999
rxjs,0.5350860000000001
rxjs,0.55404
rxjs,0.545292
rxjs,0.6677639999999999
rxjs,0.56862
rxjs,0.548208
rxjs,0.548208
rxjs,0.54675
rxjs,0.558414
rxjs,0.552582
rxjs,0.8208540000000001
rxjs,0.543834
rxjs,0.540918
rxjs,0.548208
rxjs,0.551124
rxjs,0.549666
rxjs,0.540918
rxjs,0.549666
rxjs,0.54675
rxjs,0.543834
rxjs,0.54675
rxjs,0.552582
rxjs,0.559872
rxjs,0.556956
rxjs,0.559872
