treatment,consumption
most.js,1.1546726400000002
most.js,1.1685657600000003
most.js,1.1994393600000002
most.js,1.1500416
most.js,1.1330611200000003
most.js,1.15621632
most.js,1.1253427200000001
most.js,1.17165312
most.js,1.12225536
most.js,1.1454105600000002
most.js,1.1484979199999998
most.js,1.1299737600000002
most.js,1.1407795200000002
most.js,1.1129932800000002
most.js,1.1454105600000002
most.js,1.11453696
most.js,1.15312896
most.js,1.14386688
most.js,1.1176243200000002
most.js,1.1299737600000002
most.js,1.1207116799999999
most.js,1.1207116799999999
most.js,1.1253427200000001
most.js,1.13151744
most.js,1.1423231999999999
most.js,1.1948083200000001
most.js,1.1176243200000002
most.js,1.1129932800000002
most.js,1.11453696
most.js,1.1176243200000002
most.js,0.37075104
most.js,0.41988672
most.js,0.45271008
most.js,0.45271008
most.js,0.48418992
most.js,0.44371584
most.js,0.45570816
most.js,0.45570816
most.js,0.46320336
most.js,0.46919952
most.js,0.47969280000000003
most.js,0.46020528
most.js,0.56513808
most.js,0.47669472
most.js,0.46020528
most.js,0.46170432
most.js,0.4572071999999999
most.js,0.0099086544
most.js,0.46320336
most.js,0.47369664
most.js,0.47369664
most.js,0.45420912
most.js,0.61310736
most.js,0.4572071999999999
most.js,0.47069855999999993
most.js,0.46470239999999996
most.js,0.46470239999999996
most.js,0.46620143999999997
most.js,0.45570816
most.js,0.46320336
rxjs,1.5933275999999996
rxjs,1.54692
rxjs,1.5329977199999998
rxjs,1.54692
rxjs,1.5345446399999998
rxjs,1.52835696
rxjs,1.54537308
rxjs,1.5268100399999998
rxjs,1.5438261599999998
rxjs,1.52990388
rxjs,1.52526312
rxjs,1.51907544
rxjs,1.5314508
rxjs,1.51288776
rxjs,1.51288776
rxjs,1.5268100399999998
rxjs,1.51288776
rxjs,1.54227924
rxjs,1.5329977199999998
rxjs,1.53609156
rxjs,1.5237162
rxjs,1.54692
rxjs,1.51752852
rxjs,1.52990388
rxjs,1.5268100399999998
rxjs,1.5438261599999998
rxjs,1.52062236
rxjs,1.5237162
rxjs,1.54227924
rxjs,1.6087968
rxjs,0.57341952
rxjs,0.5674464
rxjs,0.56296656
rxjs,0.56595312
rxjs,0.55998
rxjs,0.55848672
rxjs,0.55998
rxjs,0.54355392
rxjs,0.59133888
rxjs,0.5719262399999999
rxjs,0.5749128
rxjs,0.55998
rxjs,0.54952704
rxjs,0.57341952
rxjs,0.56595312
rxjs,0.68840208
rxjs,0.5644598399999999
rxjs,0.54952704
rxjs,0.55848672
rxjs,0.57341952
rxjs,0.556875
rxjs,0.56727
rxjs,0.5464800000000001
rxjs,0.556875
rxjs,0.5643
rxjs,0.5539050000000001
rxjs,0.54054
rxjs,0.5524199999999999
rxjs,0.5449950000000001
rxjs,0.5583600000000001
