treatment,consumption
most.js,1.18432224
most.js,1.1889727200000002
most.js,1.17347112
most.js,1.16106984
most.js,1.14246792
most.js,1.1300666400000001
most.js,1.15796952
most.js,1.11921552
most.js,1.1409177600000002
most.js,1.15796952
most.js,1.14866856
most.js,1.1393676
most.js,1.1254161599999999
most.js,1.1517688800000003
most.js,1.123866
most.js,1.1254161599999999
most.js,1.11456504
most.js,1.1176653600000002
most.js,1.13781744
most.js,1.15021872
most.js,1.12696632
most.js,1.11456504
most.js,1.1161151999999999
most.js,1.1254161599999999
most.js,1.13781744
most.js,1.14246792
most.js,1.1300666400000001
most.js,1.16262
most.js,1.11921552
most.js,1.14246792
most.js,0.38322503999999996
most.js,0.37417248
most.js,0.37266372
most.js,0.36511992
most.js,0.37719
most.js,0.36361116
most.js,0.37266372
most.js,0.3696462
most.js,0.36813744
most.js,0.36662868
most.js,0.36452916
most.js,0.37503000000000003
most.js,0.64805184
most.js,0.43203455999999996
most.js,0.4650372
most.js,0.46053684
most.js,0.45153612
most.js,0.44253539999999997
most.js,0.45903671999999995
most.js,0.4650372
most.js,0.46353708
most.js,0.44703576
most.js,0.487539
most.js,0.36302903999999997
most.js,0.44253539999999997
most.js,0.4158
most.js,0.45589500000000005
most.js,0.46620143999999997
most.js,0.46320336
most.js,0.45121103999999995
rxjs,1.54574352
rxjs,1.5877727999999998
rxjs,1.5877727999999998
rxjs,1.5722064
rxjs,1.55664
rxjs,1.5722064
rxjs,1.53951696
rxjs,1.5722064
rxjs,1.5379603199999998
rxjs,1.52239392
rxjs,1.55664
rxjs,1.5379603199999998
rxjs,1.5332904
rxjs,1.5441868799999998
rxjs,1.5877727999999998
rxjs,1.53017712
rxjs,1.53951696
rxjs,1.5255072
rxjs,1.5504134399999998
rxjs,1.52706384
rxjs,1.5208372799999998
rxjs,1.5441868799999998
rxjs,1.53951696
rxjs,1.5332904
rxjs,1.5504134399999998
rxjs,1.5473001599999998
rxjs,1.5348470399999998
rxjs,1.5410736000000003
rxjs,1.5364036799999998
rxjs,1.5332904
rxjs,0.5530463999999999
rxjs,0.5524199999999999
rxjs,0.5999399999999999
rxjs,0.5401137599999999
rxjs,0.57302928
rxjs,0.5909831999999999
rxjs,0.5640523199999999
rxjs,0.55208304
rxjs,0.55058688
rxjs,0.6762643199999999
rxjs,0.5431060799999999
rxjs,0.54909072
rxjs,0.5535791999999999
rxjs,0.5453913600000001
rxjs,0.55579392
rxjs,0.5460983999999999
rxjs,0.57302928
rxjs,0.56255616
rxjs,0.55507536
rxjs,0.5460983999999999
rxjs,0.5685408
rxjs,0.53796096
rxjs,0.53944704
rxjs,0.56350944
rxjs,0.5545411200000001
rxjs,0.5620147200000001
rxjs,0.58144608
rxjs,0.5366044800000002
rxjs,0.53959392
rxjs,0.5306256
