treatment,consumption
most.js,0.6143846400000001
most.js,0.5727052800000001
most.js,0.6483456000000001
most.js,0.5557248
most.js,0.58814208
most.js,0.142172928
most.js,0.5757926400000001
most.js,0.5464627200000001
most.js,0.54955008
most.js,0.5757926400000001
most.js,0.5665305600000001
most.js,0.5680742400000001
most.js,0.55726848
most.js,0.53874432
most.js,0.5402880000000001
most.js,0.54183168
most.js,0.5480064
most.js,0.55263744
most.js,0.5510937600000001
most.js,0.5727052800000001
most.js,0.5665305600000001
most.js,0.5665305600000001
most.js,0.5943168000000001
most.js,0.5451948
most.js,0.53444448
most.js,0.54980208
most.js,0.5451948
most.js,0.54212328
most.js,0.53290872
most.js,0.54365904
most.js,0.37336752
most.js,0.35997984
most.js,0.37188
most.js,0.35849232
most.js,0.35849232
most.js,0.3570048
most.js,0.36146735999999996
most.js,0.38229264
most.js,0.41948063999999996
most.js,0.47451888
most.js,0.45071856
most.js,0.4998067199999999
most.js,0.6411211199999999
most.js,0.44774351999999995
most.js,0.45666864
most.js,0.44328095999999995
most.js,0.46261872
most.js,0.45071856
most.js,0.446256
most.js,0.45220607999999995
most.js,0.45666864
most.js,0.45518111999999994
most.js,0.51468192
most.js,0.46559375999999997
most.js,0.4536935999999999
most.js,0.45964368
most.js,0.44179344
most.js,0.45071856
most.js,0.45220607999999995
most.js,0.44030591999999996
rxjs,1.5933275999999996
rxjs,1.6305767999999998
rxjs,1.5536628000000001
rxjs,1.5244354799999997
rxjs,1.5167440799999998
rxjs,1.5136675199999998
rxjs,1.5321268799999999
rxjs,1.51212924
rxjs,1.5690455999999997
rxjs,1.5028995599999997
rxjs,1.4905933199999999
rxjs,1.49674644
rxjs,1.49674644
rxjs,1.5182823599999997
rxjs,1.5075143999999998
rxjs,1.50597612
rxjs,1.5105909599999998
rxjs,1.53366516
rxjs,1.5690455999999997
rxjs,1.5044378399999998
rxjs,1.4875167599999999
rxjs,1.53366516
rxjs,1.5136675199999998
rxjs,1.50905268
rxjs,1.5152058
rxjs,1.50136128
rxjs,1.5182823599999997
rxjs,1.53828
rxjs,1.49828472
rxjs,1.6767252
rxjs,0.5449950000000001
rxjs,0.542025
rxjs,0.55539
rxjs,0.5197500000000002
rxjs,0.5449950000000001
rxjs,0.5301450000000001
rxjs,0.5360849999999999
rxjs,0.5524199999999999
rxjs,0.604395
rxjs,0.5464800000000001
rxjs,0.5449950000000001
rxjs,0.542025
rxjs,0.5449950000000001
rxjs,0.54945
rxjs,0.539055
rxjs,0.56133
rxjs,0.5464800000000001
rxjs,0.5583600000000001
rxjs,0.5524199999999999
rxjs,0.571725
rxjs,0.56133
rxjs,0.556875
rxjs,0.5643
rxjs,0.547965
rxjs,0.56727
rxjs,0.512325
rxjs,0.5316299999999999
rxjs,0.55539
rxjs,0.5539050000000001
rxjs,0.5449950000000001
