treatment,consumption
most.js,1.2304353600000002
most.js,1.21696344
most.js,1.12565376
most.js,1.1525976
most.js,1.12116312
most.js,1.0882317600000002
most.js,1.1106849600000002
most.js,1.11667248
most.js,1.09122552
most.js,1.1196662400000001
most.js,1.08074736
most.js,1.0852380000000001
most.js,1.1017036800000002
most.js,1.1540944800000001
most.js,1.08673488
most.js,1.0792504800000002
most.js,1.12116312
most.js,1.09122552
most.js,1.0852380000000001
most.js,1.1076911999999999
most.js,1.0957161600000003
most.js,1.08224424
most.js,1.0852380000000001
most.js,1.08224424
most.js,1.19900088
most.js,1.1421194400000003
most.js,1.1046974400000003
most.js,1.1002068
most.js,1.0777536
most.js,1.0687723200000003
most.js,0.36243396000000005
most.js,0.34366248000000005
most.js,0.37254168000000004
most.js,0.33788664000000007
most.js,0.35810208
most.js,0.35665812
most.js,0.35232624
most.js,0.38409336
most.js,0.45340344
most.js,0.45195948
most.js,0.43463196
most.js,0.43607592000000006
most.js,0.5313772800000001
most.js,0.4259682
most.js,0.44329572000000006
most.js,0.43030008000000003
most.js,0.433188
most.js,0.43463196
most.js,0.4548474
most.js,0.43931808
most.js,0.44362512000000004
most.js,0.45511056
most.js,0.44936784
most.js,0.4378824
most.js,0.43644671999999995
most.js,0.43213967999999997
most.js,0.4378824
most.js,0.430704
most.js,0.44506080000000003
most.js,0.44793216
rxjs,1.754424
rxjs,1.501668
rxjs,1.6206120000000002
rxjs,1.4659848
rxjs,1.4868000000000001
rxjs,1.4630112
rxjs,1.4868000000000001
rxjs,1.4674715999999999
rxjs,1.457064
rxjs,1.546272
rxjs,1.4674715999999999
rxjs,1.4511168
rxjs,1.4659848
rxjs,1.4600376
rxjs,1.4511168
rxjs,1.4436828000000002
rxjs,1.4243544000000001
rxjs,1.4734188
rxjs,1.4615244
rxjs,1.4526035999999998
rxjs,1.4615244
rxjs,1.479366
rxjs,1.464498
rxjs,1.457064
rxjs,1.4533851600000003
rxjs,1.44303552
rxjs,1.45929924
rxjs,1.45782072
rxjs,1.4533851600000003
rxjs,1.4933052000000002
rxjs,0.49380876
rxjs,0.46392407999999996
rxjs,0.46107792
rxjs,0.47103947999999995
rxjs,0.52227036
rxjs,0.53223192
rxjs,0.5293857599999999
rxjs,0.53223192
rxjs,0.54219348
rxjs,0.53792424
rxjs,0.52084728
rxjs,0.53792424
rxjs,0.53792424
rxjs,0.55927044
rxjs,0.55357812
rxjs,0.5749243199999999
rxjs,0.53934732
rxjs,0.53934732
rxjs,0.53223192
rxjs,0.54930888
rxjs,0.53792424
rxjs,0.5236934400000001
rxjs,0.5407704
rxjs,0.54219348
rxjs,0.54219348
rxjs,0.53507808
rxjs,0.5236934400000001
rxjs,0.5308088400000001
rxjs,0.53507808
rxjs,0.52796268
