treatment,consumption
most.js,0.6750928800000001
most.js,0.6241989600000001
most.js,0.5643237600000001
most.js,0.5762988
most.js,0.5388768
most.js,0.5343861600000002
most.js,0.5313924
most.js,0.54336744
most.js,0.52839864
most.js,0.5762988
most.js,0.57330504
most.js,0.53588304
most.js,0.54037368
most.js,0.52839864
most.js,0.5313924
most.js,0.5343861600000002
most.js,0.56731752
most.js,0.5343861600000002
most.js,0.5343861600000002
most.js,0.5748019200000001
most.js,0.5523487200000001
most.js,0.5478580800000001
most.js,0.53588304
most.js,0.51941736
most.js,0.5373799200000001
most.js,0.52690176
most.js,0.52839864
most.js,0.53288928
most.js,0.53588304
most.js,0.5343861600000002
most.js,0.44936784
most.js,0.44506080000000003
most.js,0.43501104
most.js,0.44075376000000005
most.js,0.43931808
most.js,0.43931808
most.js,0.430704
most.js,0.4378824
most.js,0.4378824
most.js,0.45080351999999996
most.js,0.43644671999999995
most.js,0.44075376000000005
most.js,0.55847952
most.js,0.44075376000000005
most.js,0.44362512000000004
most.js,0.43644671999999995
most.js,0.45367488000000006
most.js,0.45080351999999996
most.js,0.43931808
most.js,0.45080351999999996
most.js,0.44362512000000004
most.js,0.45367488000000006
most.js,0.45511056
most.js,0.45941760000000004
most.js,0.44075376000000005
most.js,0.44362512000000004
most.js,0.45080351999999996
most.js,0.44075376000000005
most.js,0.44936784
most.js,0.44218944000000004
rxjs,0.88415496
rxjs,0.6993399600000001
rxjs,0.7496096400000001
rxjs,0.6949044000000001
rxjs,0.6949044000000001
rxjs,0.6815977200000002
rxjs,0.7244748000000001
rxjs,0.6934258799999999
rxjs,0.7363029600000001
rxjs,0.6934258799999999
rxjs,0.6875118
rxjs,0.6919473600000001
rxjs,0.6934258799999999
rxjs,0.7096896
rxjs,0.6963829200000001
rxjs,0.6949044000000001
rxjs,0.6889903200000002
rxjs,0.69046884
rxjs,0.68603328
rxjs,0.6978614399999999
rxjs,0.68455476
rxjs,0.6919473600000001
rxjs,0.69046884
rxjs,0.68455476
rxjs,0.69046884
rxjs,0.6889903200000002
rxjs,0.6919473600000001
rxjs,0.6889903200000002
rxjs,0.6913512000000002
rxjs,0.6839964000000001
rxjs,0.52597476
rxjs,0.5268942
rxjs,0.5268942
rxjs,0.5311548
rxjs,0.539676
rxjs,0.5240538
rxjs,0.532575
rxjs,0.5339952
rxjs,0.532575
rxjs,0.5297346
rxjs,0.5268942
rxjs,0.5254739999999999
rxjs,0.5368356
rxjs,0.5382558
rxjs,0.5453568
rxjs,0.7044191999999999
rxjs,0.5169528000000001
rxjs,0.539676
rxjs,0.5268942
rxjs,0.5311548
rxjs,0.5339952
rxjs,0.532575
rxjs,0.5311548
rxjs,0.5425164
rxjs,0.51610392
rxjs,0.5217443999999999
rxjs,0.53020512
rxjs,0.52033428
rxjs,0.53020512
rxjs,0.52033428
